,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
2690.0,0.569,0.1472,0.4761,0.929,0.062,2690.0,2660,2720,0.4761
2700.0,0.569,0.1472,0.4839,0.929,0.062,2700.0,2670,2730,0.4839
2710.0,0.569,0.1472,0.4552,0.929,0.062,2710.0,2680,2740,0.4552
2720.0,0.569,0.1472,0.447,0.929,0.062,2720.0,2690,2750,0.447
2730.0,0.569,0.1472,0.445,0.929,0.062,2730.0,2700,2760,0.445
2740.0,0.569,0.1472,0.4593,0.929,0.062,2740.0,2710,2770,0.4593
2750.0,0.569,0.1472,0.4465,0.929,0.062,2750.0,2720,2780,0.4465
2760.0,0.569,0.1472,0.4646,0.929,0.062,2760.0,2730,2790,0.4646
2770.0,0.569,0.1472,0.3696,0.929,0.062,2770.0,2740,2800,0.3696
2780.0,0.569,0.1472,0.43,0.929,0.062,2780.0,2750,2810,0.43
2790.0,0.569,0.1472,0.4526,0.929,0.062,2790.0,2760,2820,0.4526
2800.0,0.569,0.1472,0.4259,0.929,0.062,2800.0,2770,2830,0.4259
2810.0,0.569,0.1472,0.4599,0.929,0.062,2810.0,2780,2840,0.4599
2820.0,0.569,0.1472,0.4649,0.929,0.062,2820.0,2790,2850,0.4649
2830.0,0.569,0.1472,0.5702,0.929,0.062,2830.0,2800,2860,0.5702
2840.0,0.569,0.1472,0.4966,0.929,0.062,2840.0,2810,2870,0.4966
2850.0,0.569,0.1472,0.5137,0.929,0.062,2850.0,2820,2880,0.5137
2860.0,0.569,0.1472,0.4545,0.929,0.062,2860.0,2830,2890,0.4545
2870.0,0.569,0.1472,0.4758,0.929,0.062,2870.0,2840,2900,0.4758
2880.0,0.569,0.1472,0.458,0.929,0.062,2880.0,2850,2910,0.458
2890.0,0.569,0.1472,0.4394,0.929,0.062,2890.0,2860,2920,0.4394
2900.0,0.569,0.1472,0.4572,0.929,0.062,2900.0,2870,2930,0.4572
2910.0,0.569,0.1472,0.4457,0.929,0.062,2910.0,2880,2940,0.4457
2920.0,0.569,0.1472,0.5014,0.929,0.062,2920.0,2890,2950,0.5014
2930.0,0.569,0.1472,0.4964,0.929,0.062,2930.0,2900,2960,0.4964
2940.0,0.569,0.1472,0.5107,0.929,0.062,2940.0,2910,2970,0.5107
2950.0,0.569,0.1472,0.5094,0.929,0.062,2950.0,2920,2980,0.5094
2960.0,0.569,0.1472,0.4897,0.929,0.062,2960.0,2930,2990,0.4897
