,tmean,tstart,tstop,size_mean,size_max,num_bursts,burst_width,burst_width_high,phrate_mean
263,1820.0,1730.0,1910.0,132.09,753.4,445,3.4,3.08,210834.9
264,1830.0,1740.0,1920.0,129.8,753.4,449,3.37,3.04,208422.3
265,1840.0,1750.0,1930.0,128.57,753.4,457,3.37,3.0,205493.4
266,1850.0,1760.0,1940.0,130.01,753.4,465,3.39,3.05,208142.0
267,1860.0,1770.0,1950.0,127.38,753.4,459,3.37,3.05,205809.8
268,1870.0,1780.0,1960.0,128.58,753.4,448,3.39,3.08,208209.2
269,1880.0,1790.0,1970.0,129.18,753.4,444,3.41,3.05,205201.7
270,1890.0,1800.0,1980.0,128.43,753.4,449,3.38,3.03,206777.3
271,1900.0,1810.0,1990.0,126.79,753.4,438,3.38,3.02,201735.1
272,1910.0,1820.0,2000.0,128.7,753.4,416,3.39,3.01,202972.6
273,1920.0,1830.0,2010.0,128.47,753.4,425,3.4,3.06,202353.9
274,1930.0,1840.0,2020.0,132.38,949.6,436,3.48,3.1,207635.5
275,1940.0,1850.0,2030.0,132.1,949.6,420,3.46,3.05,210273.3
276,1950.0,1860.0,2040.0,131.7,949.6,430,3.46,3.08,210689.9
277,1960.0,1870.0,2050.0,132.43,949.6,425,3.49,3.12,212800.1
278,1970.0,1880.0,2060.0,133.16,949.6,421,3.49,3.17,214206.1
279,1980.0,1890.0,2070.0,134.87,949.6,434,3.52,3.21,222594.3
280,1990.0,1900.0,2080.0,135.04,949.6,445,3.5,3.21,225632.0
281,2000.0,1910.0,2090.0,135.51,949.6,434,3.49,3.22,226766.2
282,2010.0,1920.0,2100.0,136.07,949.6,430,3.5,3.19,229001.5
283,2020.0,1930.0,2110.0,138.05,949.6,419,3.51,3.21,232687.4
284,2030.0,1940.0,2120.0,138.31,949.6,418,3.52,3.17,230034.7
285,2040.0,1950.0,2130.0,138.43,949.6,428,3.51,3.16,230070.7
286,2050.0,1960.0,2140.0,136.79,949.6,433,3.48,3.17,229537.9
287,2060.0,1970.0,2150.0,135.34,949.6,440,3.46,3.17,229781.0
288,2070.0,1980.0,2160.0,138.48,949.6,437,3.51,3.17,230317.3
289,2080.0,1990.0,2170.0,140.61,949.6,439,3.52,3.22,233315.0
290,2090.0,2000.0,2180.0,141.52,949.6,469,3.52,3.24,239876.0
291,2100.0,2010.0,2190.0,143.22,949.6,458,3.56,3.23,240859.3
292,2110.0,2020.0,2200.0,139.99,853.3,447,3.51,3.23,233209.1
293,2120.0,2030.0,2210.0,140.21,853.3,446,3.51,3.23,231978.5
294,2130.0,2040.0,2220.0,141.35,853.3,438,3.52,3.23,232347.4
295,2140.0,2050.0,2230.0,142.21,853.3,439,3.5,3.21,233266.9
296,2150.0,2060.0,2240.0,140.81,853.3,431,3.47,3.17,236209.5
297,2160.0,2070.0,2250.0,136.57,853.3,421,3.42,3.11,228275.6
298,2170.0,2080.0,2260.0,136.4,853.3,415,3.42,3.13,227879.2
299,2180.0,2090.0,2270.0,135.54,853.3,420,3.42,3.14,227497.9
300,2190.0,2100.0,2280.0,134.44,853.3,421,3.42,3.17,224210.8
301,2200.0,2110.0,2290.0,134.89,853.3,452,3.42,3.19,224551.7
302,2210.0,2120.0,2300.0,134.1,853.3,448,3.39,3.19,226018.5
303,2220.0,2130.0,2310.0,135.85,853.3,446,3.39,3.18,230406.5
304,2230.0,2140.0,2320.0,136.45,853.3,436,3.41,3.16,229141.1
305,2240.0,2150.0,2330.0,139.57,853.3,426,3.45,3.22,233521.8
306,2250.0,2160.0,2340.0,136.18,853.3,422,3.39,3.23,235215.3
307,2260.0,2170.0,2350.0,134.89,478.8,421,3.38,3.19,233843.2
308,2270.0,2180.0,2360.0,134.46,771.9,409,3.38,3.21,229356.6
309,2280.0,2190.0,2370.0,135.4,984.4,424,3.37,3.23,230270.7
310,2290.0,2200.0,2380.0,135.46,984.4,422,3.37,3.23,231531.0
311,2300.0,2210.0,2390.0,135.28,984.4,436,3.37,3.23,234068.1
312,2310.0,2220.0,2400.0,134.27,984.4,440,3.36,3.24,232620.5
313,2320.0,2230.0,2410.0,132.9,984.4,441,3.34,3.21,233624.6
314,2330.0,2240.0,2420.0,133.75,984.4,434,3.37,3.23,231352.1
315,2340.0,2250.0,2430.0,136.2,984.4,421,3.42,3.25,231647.9
316,2350.0,2260.0,2440.0,133.49,984.4,434,3.37,3.18,230250.3
317,2360.0,2270.0,2450.0,134.02,984.4,433,3.38,3.22,228414.9
318,2370.0,2280.0,2460.0,133.79,984.4,447,3.37,3.19,226192.1
319,2380.0,2290.0,2470.0,135.66,984.4,432,3.39,3.17,232088.0
320,2390.0,2300.0,2480.0,136.41,984.4,441,3.4,3.19,237090.9
321,2400.0,2310.0,2490.0,135.36,984.4,443,3.4,3.18,236241.7
322,2410.0,2320.0,2500.0,134.7,984.4,457,3.39,3.18,234985.5
323,2420.0,2330.0,2510.0,133.76,984.4,463,3.37,3.13,232480.5
324,2430.0,2340.0,2520.0,134.26,984.4,472,3.39,3.14,229500.4
325,2440.0,2350.0,2530.0,133.64,984.4,479,3.38,3.16,227439.7
326,2450.0,2360.0,2540.0,134.21,984.4,479,3.39,3.14,226956.6
327,2460.0,2370.0,2550.0,131.52,696.2,487,3.34,3.07,224556.9
328,2470.0,2380.0,2560.0,132.36,696.2,500,3.34,3.03,224302.5
329,2480.0,2390.0,2570.0,134.34,696.2,498,3.37,3.07,222978.8
330,2490.0,2400.0,2580.0,135.89,696.2,508,3.39,3.06,226259.6
331,2500.0,2410.0,2590.0,137.76,696.2,493,3.42,3.08,224811.2
332,2510.0,2420.0,2600.0,138.63,696.2,508,3.44,3.1,225795.9
333,2520.0,2430.0,2610.0,136.77,650.7,508,3.41,3.07,223614.5
334,2530.0,2440.0,2620.0,140.65,650.7,492,3.48,3.13,226791.8
335,2540.0,2450.0,2630.0,140.83,650.7,490,3.45,3.08,231272.1
336,2550.0,2460.0,2640.0,140.94,650.7,469,3.47,3.09,233249.2
337,2560.0,2470.0,2650.0,137.18,645.9,468,3.41,3.06,228451.6
338,2570.0,2480.0,2660.0,136.62,645.9,460,3.41,3.08,225552.4
339,2580.0,2490.0,2670.0,136.36,645.9,453,3.42,3.11,224171.5
340,2590.0,2500.0,2680.0,137.15,645.9,440,3.42,3.1,225366.0
341,2600.0,2510.0,2690.0,136.11,645.9,436,3.43,3.1,222795.6
342,2610.0,2520.0,2700.0,135.66,645.9,431,3.42,3.07,221687.6
